iter	Passed	Remaining
0	69	69181
1	80	40069
2	90	30071
3	100	25011
4	109	21719
5	117	19499
6	127	18043
7	137	17077
8	147	16196
9	158	15655
10	168	15105
11	178	14678
12	188	14325
13	199	14017
14	209	13755
15	222	13688
16	234	13548
17	243	13281
18	252	13036
19	262	12856
20	270	12613
21	278	12397
22	289	12279
23	300	12209
24	310	12110
25	319	11983
26	329	11871
27	338	11764
28	349	11698
29	359	11638
30	368	11534
31	379	11483
32	390	11439
33	400	11371
34	410	11305
35	421	11297
36	435	11324
37	448	11346
38	458	11286
39	469	11263
40	481	11262
41	493	11257
42	508	11318
43	521	11323
44	532	11311
45	542	11245
46	551	11191
47	561	11145
48	568	11037
49	578	10991
50	588	10952
51	598	10908
52	608	10868
53	621	10895
54	631	10849
55	641	10811
56	653	10807
57	666	10824
58	679	10831
59	691	10827
60	703	10825
61	715	10830
62	726	10798
63	735	10751
64	743	10700
65	749	10611
66	759	10572
67	768	10536
68	778	10505
69	787	10468
70	795	10410
71	806	10395
72	819	10407
73	830	10397
74	843	10400
75	856	10417
76	867	10400
77	878	10381
78	890	10382
79	902	10373
80	913	10366
81	924	10352
82	934	10320
83	944	10295
84	953	10263
85	964	10248
86	974	10222
87	983	10194
88	993	10170
89	1003	10148
90	1013	10122
91	1026	10134
92	1038	10129
93	1050	10129
94	1063	10128
95	1076	10138
96	1087	10126
97	1098	10114
98	1110	10106
99	1123	10115
100	1135	10106
101	1144	10077
102	1154	10053
103	1162	10013
104	1172	9992
105	1182	9974
106	1187	9909
107	1196	9884
108	1208	9879
109	1219	9864
110	1237	9909
111	1249	9910
112	1261	9901
113	1272	9888
114	1284	9888
115	1299	9905
116	1319	9961
117	1338	10006
118	1349	9990
119	1357	9957
120	1366	9929
121	1376	9909
122	1387	9889
123	1396	9867
124	1406	9848
125	1417	9830
126	1426	9804
127	1435	9782
128	1445	9758
129	1458	9761
130	1468	9743
131	1481	9745
132	1493	9738
133	1504	9720
134	1516	9716
135	1526	9695
136	1541	9711
137	1552	9696
138	1563	9684
139	1571	9654
140	1581	9633
141	1591	9613
142	1601	9595
143	1610	9573
144	1619	9550
145	1628	9526
146	1638	9506
147	1652	9510
148	1663	9502
149	1674	9490
150	1684	9472
151	1699	9480
152	1711	9476
153	1726	9482
154	1739	9483
155	1754	9492
156	1764	9474
157	1774	9456
158	1783	9431
159	1793	9415
160	1803	9397
161	1813	9381
162	1823	9366
163	1833	9345
164	1844	9332
165	1853	9314
166	1866	9311
167	1876	9292
168	1888	9285
169	1899	9276
170	1913	9274
171	1925	9269
172	1938	9266
173	1951	9262
174	1961	9249
175	1970	9223
176	1980	9208
177	1989	9186
178	1998	9166
179	2006	9142
180	2014	9117
181	2025	9102
182	2035	9086
183	2045	9072
184	2054	9051
185	2071	9064
186	2085	9066
187	2097	9060
188	2108	9045
189	2119	9034
190	2131	9026
191	2141	9010
192	2152	9002
193	2164	8993
194	2173	8972
195	2182	8954
196	2194	8943
197	2205	8933
198	2214	8914
199	2224	8899
200	2234	8882
201	2244	8865
202	2252	8845
203	2269	8855
204	2283	8855
205	2296	8851
206	2308	8842
207	2319	8831
208	2330	8821
209	2341	8809
210	2353	8800
211	2364	8790
212	2376	8778
213	2385	8761
214	2394	8743
215	2403	8725
216	2414	8712
217	2424	8697
218	2432	8673
219	2442	8658
220	2452	8644
221	2463	8632
222	2470	8609
223	2483	8603
224	2496	8598
225	2509	8594
226	2520	8581
227	2530	8568
228	2543	8563
229	2555	8554
230	2565	8539
231	2577	8532
232	2589	8522
233	2599	8508
234	2607	8488
235	2619	8478
236	2626	8456
237	2636	8442
238	2645	8424
239	2655	8407
240	2665	8393
241	2674	8377
242	2687	8372
243	2697	8358
244	2707	8344
245	2719	8336
246	2733	8334
247	2744	8321
248	2757	8317
249	2768	8306
250	2779	8294
251	2788	8277
252	2798	8264
253	2808	8249
254	2819	8237
255	2829	8222
256	2839	8209
257	2849	8194
258	2859	8180
259	2870	8169
260	2883	8165
261	2894	8151
262	2906	8144
263	2921	8145
264	2933	8136
265	2945	8128
266	2953	8107
267	2961	8090
268	2973	8080
269	2984	8070
270	2995	8057
271	3005	8043
272	3015	8029
273	3022	8009
274	3031	7991
275	3041	7977
276	3048	7956
277	3058	7944
278	3072	7941
279	3082	7925
280	3095	7919
281	3107	7911
282	3119	7902
283	3131	7894
284	3140	7879
285	3154	7874
286	3164	7862
287	3179	7859
288	3189	7846
289	3200	7836
290	3208	7818
291	3218	7802
292	3229	7792
293	3239	7779
294	3245	7757
295	3256	7744
296	3267	7734
297	3274	7713
298	3284	7701
299	3296	7690
300	3305	7677
301	3318	7669
302	3332	7666
303	3345	7659
304	3357	7649
305	3366	7635
306	3378	7627
307	3391	7620
308	3399	7602
309	3409	7588
310	3418	7574
311	3429	7561
312	3436	7543
313	3446	7529
314	3454	7513
315	3464	7500
316	3475	7487
317	3483	7470
318	3498	7468
319	3510	7460
320	3523	7452
321	3532	7438
322	3541	7423
323	3553	7413
324	3562	7399
325	3573	7389
326	3585	7380
327	3596	7367
328	3604	7352
329	3613	7336
330	3622	7320
331	3631	7307
332	3638	7287
333	3648	7274
334	3658	7262
335	3670	7254
336	3681	7241
337	3694	7235
338	3709	7232
339	3718	7218
340	3729	7207
341	3741	7199
342	3753	7190
343	3763	7177
344	3772	7163
345	3785	7154
346	3797	7145
347	3806	7131
348	3816	7118
349	3825	7104
350	3835	7091
351	3844	7077
352	3852	7061
353	3863	7049
354	3869	7031
355	3879	7018
356	3889	7005
357	3902	6997
358	3907	6976
359	3919	6968
360	3934	6964
361	3946	6955
362	3954	6938
363	3967	6931
364	3977	6920
365	3988	6908
366	4001	6901
367	4008	6883
368	4017	6870
369	4027	6857
370	4038	6846
371	4048	6833
372	4057	6820
373	4067	6808
374	4077	6795
375	4086	6781
376	4098	6773
377	4107	6758
378	4119	6749
379	4130	6739
380	4143	6731
381	4158	6727
382	4169	6716
383	4182	6708
384	4194	6700
385	4201	6682
386	4210	6670
387	4220	6656
388	4227	6640
389	4237	6627
390	4246	6614
391	4255	6600
392	4265	6588
393	4274	6574
394	4284	6561
395	4293	6548
396	4303	6536
397	4317	6529
398	4328	6519
399	4335	6502
400	4348	6496
401	4361	6487
402	4373	6479
403	4384	6468
404	4397	6460
405	4409	6451
406	4420	6441
407	4428	6424
408	4437	6412
409	4447	6400
410	4458	6388
411	4468	6376
412	4477	6364
413	4487	6352
414	4498	6340
415	4509	6330
416	4520	6319
417	4529	6306
418	4536	6289
419	4544	6276
420	4556	6265
421	4568	6257
422	4576	6242
423	4586	6230
424	4596	6218
425	4608	6210
426	4619	6198
427	4628	6186
428	4637	6171
429	4648	6162
430	4656	6147
431	4666	6135
432	4675	6122
433	4685	6110
434	4693	6095
435	4702	6083
436	4709	6068
437	4726	6064
438	4737	6054
439	4751	6047
440	4759	6033
441	4771	6023
442	4780	6010
443	4791	5999
444	4801	5987
445	4811	5977
446	4822	5965
447	4833	5955
448	4842	5942
449	4852	5930
450	4862	5919
451	4871	5906
452	4880	5893
453	4889	5880
454	4899	5868
455	4909	5856
456	4922	5848
457	4934	5839
458	4944	5827
459	4955	5817
460	4969	5810
461	4981	5801
462	4992	5790
463	5003	5780
464	5017	5772
465	5029	5763
466	5039	5751
467	5049	5739
468	5059	5727
469	5067	5714
470	5075	5701
471	5084	5687
472	5092	5674
473	5102	5662
474	5113	5651
475	5126	5643
476	5138	5634
477	5150	5624
478	5163	5616
479	5175	5607
480	5186	5596
481	5196	5584
482	5209	5575
483	5219	5564
484	5229	5553
485	5239	5541
486	5248	5528
487	5258	5517
488	5268	5505
489	5279	5494
490	5288	5481
491	5298	5470
492	5308	5459
493	5318	5447
494	5325	5433
495	5339	5425
496	5349	5413
497	5360	5403
498	5374	5395
499	5382	5382
500	5393	5372
501	5406	5362
502	5417	5352
503	5427	5341
504	5438	5330
505	5446	5317
506	5451	5301
507	5462	5290
508	5470	5276
509	5480	5265
510	5489	5252
511	5499	5241
512	5509	5230
513	5519	5218
514	5526	5205
515	5536	5192
516	5546	5181
517	5557	5171
518	5568	5160
519	5581	5152
520	5592	5141
521	5604	5131
522	5617	5122
523	5628	5113
524	5642	5105
525	5652	5094
526	5662	5082
527	5672	5070
528	5683	5060
529	5692	5048
530	5702	5037
531	5712	5025
532	5722	5014
533	5732	5002
534	5740	4989
535	5748	4976
536	5760	4967
537	5771	4955
538	5781	4945
539	5793	4935
540	5805	4925
541	5816	4915
542	5827	4904
543	5839	4894
544	5848	4883
545	5860	4872
546	5870	4861
547	5879	4849
548	5889	4838
549	5900	4827
550	5909	4815
551	5919	4803
552	5928	4792
553	5937	4780
554	5947	4768
555	5960	4760
556	5973	4750
557	5985	4740
558	5998	4732
559	6011	4723
560	6021	4712
561	6034	4703
562	6046	4693
563	6057	4682
564	6067	4671
565	6078	4660
566	6087	4648
567	6098	4637
568	6107	4625
569	6116	4613
570	6129	4605
571	6140	4594
572	6150	4583
573	6161	4572
574	6173	4562
575	6184	4552
576	6195	4541
577	6207	4532
578	6217	4521
579	6228	4510
580	6240	4500
581	6250	4489
582	6261	4478
583	6270	4466
584	6281	4456
585	6290	4444
586	6301	4433
587	6310	4421
588	6320	4410
589	6330	4399
590	6339	4387
591	6350	4376
592	6363	4367
593	6375	4357
594	6389	4349
595	6401	4339
596	6414	4329
597	6424	4319
598	6436	4308
599	6449	4299
600	6459	4288
601	6470	4277
602	6480	4266
603	6487	4253
604	6498	4242
605	6507	4231
606	6518	4220
607	6529	4209
608	6539	4198
609	6549	4187
610	6560	4176
611	6571	4165
612	6582	4155
613	6593	4145
614	6606	4135
615	6622	4128
616	6638	4120
617	6651	4111
618	6666	4103
619	6675	4091
620	6684	4079
621	6695	4068
622	6704	4057
623	6714	4045
624	6723	4034
625	6733	4022
626	6742	4011
627	6752	4000
628	6760	3987
629	6769	3975
630	6781	3965
631	6793	3955
632	6806	3946
633	6817	3935
634	6828	3924
635	6840	3914
636	6852	3904
637	6864	3895
638	6878	3886
639	6889	3875
640	6898	3863
641	6907	3852
642	6917	3840
643	6925	3828
644	6934	3816
645	6944	3805
646	6954	3794
647	6963	3782
648	6974	3772
649	6984	3761
650	6996	3750
651	7009	3741
652	7022	3731
653	7032	3720
654	7044	3710
655	7057	3700
656	7068	3690
657	7079	3679
658	7089	3668
659	7097	3656
660	7109	3646
661	7120	3635
662	7130	3624
663	7139	3612
664	7149	3601
665	7159	3590
666	7169	3579
667	7180	3568
668	7191	3558
669	7202	3547
670	7213	3536
671	7226	3527
672	7239	3517
673	7251	3507
674	7259	3495
675	7271	3485
676	7282	3474
677	7292	3463
678	7300	3451
679	7309	3439
680	7319	3428
681	7328	3417
682	7338	3406
683	7349	3395
684	7359	3384
685	7368	3372
686	7378	3361
687	7391	3352
688	7404	3342
689	7417	3332
690	7427	3321
691	7438	3310
692	7457	3303
693	7479	3297
694	7495	3289
695	7511	3281
696	7522	3270
697	7532	3259
698	7543	3248
699	7551	3236
700	7561	3225
701	7571	3214
702	7582	3203
703	7595	3193
704	7605	3182
705	7620	3173
706	7633	3163
707	7646	3153
708	7656	3142
709	7667	3131
710	7681	3122
711	7692	3111
712	7702	3100
713	7712	3089
714	7722	3078
715	7732	3067
716	7741	3055
717	7751	3044
718	7761	3033
719	7771	3022
720	7780	3010
721	7793	3000
722	7805	2990
723	7817	2980
724	7832	2970
725	7844	2960
726	7856	2950
727	7867	2939
728	7878	2928
729	7890	2918
730	7900	2907
731	7910	2896
732	7920	2884
733	7930	2873
734	7941	2863
735	7949	2851
736	7959	2840
737	7969	2829
738	7980	2818
739	7989	2807
740	8002	2797
741	8013	2786
742	8025	2776
743	8038	2765
744	8049	2755
745	8055	2742
746	8065	2731
747	8076	2721
748	8091	2711
749	8103	2701
750	8113	2690
751	8122	2678
752	8134	2668
753	8144	2657
754	8154	2646
755	8163	2634
756	8173	2623
757	8183	2612
758	8197	2602
759	8208	2592
760	8220	2581
761	8231	2571
762	8242	2560
763	8252	2549
764	8262	2538
765	8273	2527
766	8285	2516
767	8294	2505
768	8305	2494
769	8314	2483
770	8323	2472
771	8333	2461
772	8343	2450
773	8353	2439
774	8363	2428
775	8373	2417
776	8379	2404
777	8389	2393
778	8401	2383
779	8411	2372
780	8421	2361
781	8433	2350
782	8445	2340
783	8455	2329
784	8467	2319
785	8478	2308
786	8489	2297
787	8502	2287
788	8512	2276
789	8521	2265
790	8531	2254
791	8541	2243
792	8551	2232
793	8561	2221
794	8571	2210
795	8582	2199
796	8593	2188
797	8602	2177
798	8617	2167
799	8632	2158
800	8645	2147
801	8655	2137
802	8666	2126
803	8678	2115
804	8691	2105
805	8700	2094
806	8713	2083
807	8724	2073
808	8734	2062
809	8743	2050
810	8753	2040
811	8763	2028
812	8773	2017
813	8782	2006
814	8792	1995
815	8803	1985
816	8812	1973
817	8826	1963
818	8838	1953
819	8852	1943
820	8865	1932
821	8875	1922
822	8883	1910
823	8896	1900
824	8909	1889
825	8920	1879
826	8931	1868
827	8942	1857
828	8952	1846
829	8962	1835
830	8972	1824
831	8981	1813
832	8990	1802
833	9000	1791
834	9009	1780
835	9020	1769
836	9031	1758
837	9042	1748
838	9056	1737
839	9067	1727
840	9079	1716
841	9092	1706
842	9104	1695
843	9117	1685
844	9127	1674
845	9137	1663
846	9147	1652
847	9156	1641
848	9166	1630
849	9177	1619
850	9187	1608
851	9197	1597
852	9207	1586
853	9216	1575
854	9230	1565
855	9240	1554
856	9250	1543
857	9266	1533
858	9284	1524
859	9305	1514
860	9318	1504
861	9330	1493
862	9340	1482
863	9350	1471
864	9360	1460
865	9369	1449
866	9378	1438
867	9389	1427
868	9400	1417
869	9409	1406
870	9419	1395
871	9429	1384
872	9441	1373
873	9452	1362
874	9467	1352
875	9479	1341
876	9489	1330
877	9502	1320
878	9514	1309
879	9526	1299
880	9536	1288
881	9548	1277
882	9557	1266
883	9568	1255
884	9580	1244
885	9590	1233
886	9600	1223
887	9611	1212
888	9620	1201
889	9629	1190
890	9644	1179
891	9655	1169
892	9666	1158
893	9678	1147
894	9693	1137
895	9706	1126
896	9716	1115
897	9728	1104
898	9740	1094
899	9750	1083
900	9760	1072
901	9769	1061
902	9779	1050
903	9789	1039
904	9799	1028
905	9809	1017
906	9818	1006
907	9829	995
908	9842	985
909	9852	974
910	9864	963
911	9878	953
912	9890	942
913	9903	931
914	9913	920
915	9924	910
916	9937	899
917	9947	888
918	9957	877
919	9967	866
920	9978	855
921	9987	844
922	9996	833
923	10006	823
924	10016	812
925	10026	801
926	10035	790
927	10045	779
928	10055	768
929	10070	758
930	10086	747
931	10097	736
932	10109	725
933	10124	715
934	10135	704
935	10147	693
936	10158	683
937	10169	672
938	10181	661
939	10189	650
940	10200	639
941	10212	628
942	10222	617
943	10231	606
944	10241	596
945	10255	585
946	10267	574
947	10275	563
948	10288	552
949	10301	542
950	10313	531
951	10323	520
952	10336	509
953	10347	498
954	10356	488
955	10366	477
956	10376	466
957	10385	455
958	10396	444
959	10405	433
960	10416	422
961	10427	411
962	10436	400
963	10446	390
964	10456	379
965	10469	368
966	10480	357
967	10492	346
968	10502	335
969	10513	325
970	10529	314
971	10540	303
972	10555	292
973	10569	282
974	10582	271
975	10593	260
976	10603	249
977	10614	238
978	10625	227
979	10636	217
980	10646	206
981	10656	195
982	10672	184
983	10679	173
984	10693	162
985	10708	152
986	10721	141
987	10733	130
988	10747	119
989	10761	108
990	10774	97
991	10785	86
992	10796	76
993	10805	65
994	10816	54
995	10825	43
996	10835	32
997	10845	21
998	10855	10
999	10868	0
